Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
N;PA;BELEM;SUPERCENTRO POSTOS DE SERVIÇO LTDA; 05.303.828/0001-32;AVENIDA ALMIRANTE BARROSO;1814;B;MARCO;66093-020;GLP;20/04/2026;130;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;BELEM;DUARTE & SANTOS LTDA; 22.960.942/0002-35;AVENIDA PEDRO ALVARES CABRAL;17;PSG SANTOS DUMONT;TELEGRAFO;66050-400;GLP;20/04/2026;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;BELEM;POSTO GIRASSOL LTDA; 01.087.686/0001-62;RODOVIA AUGUSTO MONTENEGRO;1800;;NOVA MARAMBAIA;66623-590;GLP;20/04/2026;125;;R$ / 13 kg;ULTRAGAZ
N;PA;BELEM;POSTO ALIANCA LTDA; 14.685.994/0001-31;RODOVIA ARTHUR BERNARDES;151;ESQ PEDRO A CABRAL;SACRAMENTA;66825-000;GLP;20/04/2026;129,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;PA;BELEM;POSTO UMARIZAL LTDA; 14.082.648/0001-69;RUA JERONIMO PIMENTEL;651;;UMARIZAL;66055-000;GLP;20/04/2026;124,99;;R$ / 13 kg;BRANCA
N;PA;BELEM;AUTO POSTO SENADOR LTDA; 05.319.538/0001-87;AVENIDA SENADOR LEMOS;3606;;SACRAMENTA;66630-505;GLP;20/04/2026;130;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;BELEM;IRMAOS TEIXEIRA LTDA; 04.976.718/0008-45;TRAVESSA D. ROMUALDO COELHO;301;;UMARIZAL;66630-505;GLP;20/04/2026;130;;R$ / 13 kg;BAHIANA
N;PA;BELEM;IRMAOS TEIXEIRA LTDA; 04.976.718/0012-21;AVENIDA PEDRO ALVARES CABRAL;1020;;MARAMBAIA;66615-860;GLP;20/04/2026;130;;R$ / 13 kg;BAHIANA
NE;PB;CABEDELO;FURTADO & CIA LTDA; 09.220.427/0001-70;RUA DUQUE DE CAXIAS;293;0;CENTRO;58310-000;GLP;20/04/2026;122;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;PB;CABEDELO;AUTO POSTO INTERMARES LTDA; 41.198.466/0001-20; BR 230 - KM 09  QUADRA  74;S/N;LOTES 11-12-13 -14;INTERMARES;58100-100;GLP;20/04/2026;120;;R$ / 13 kg;LIQUIGÁS
NE;PB;CAMPINA GRANDE;POSTO DE COMBUSTIVEIS ANEL DO BREJO LTDA; 08.587.065/0001-97;RUA DR VASCONCELOS;127;;ALTO BRANCO;58102-501;GLP;22/04/2026;110;;R$ / 13 kg;BRANCA
NE;PE;GARANHUNS;EDSON E KALINE REPRESENTACAO DE GAS LTDA; 04.304.362/0001-27;AVENIDA DUQUE DE CAXIAS;286;;HELIOPOLIS;55299-437;GLP;23/04/2026;115;;R$ / 13 kg;MINASGAS
NE;PE;PAULISTA;POSTO MARIA FARINHA LTDA; 00.626.575/0001-14;AVENIDA DOUTOR CLAUDIO JOSE GUEIROS LEITE;9064;;NOSSA SENHORA DO O;53429-000;GLP;20/04/2026;105;;R$ / 13 kg;BRANCA
NE;PE;PETROLINA;MARIA LEOCADIA DE SOUZA & CIA COMERCIO DE GLP LTDA; 06.034.782/0001-66;RUA RIO BEBERIBE;70;;JOSE E MARIA;56320-370;GLP;22/04/2026;110;;R$ / 13 kg;LIQUIGÁS
NE;PE;RECIFE;A.B. SILVA & CIA LTDA; 10.973.568/0001-42;AVENIDA BEBERIBE;1021;LOJA 0000;PONTO DE PARADA;52041-375;GLP;22/04/2026;99,99;;R$ / 13 kg;BRANCA
NE;PE;RECIFE;SIVINI PETROLEO LTDA; 02.998.548/0001-06;AVENIDA BEBERIBE SANTA CRUZ FUTEBOL CLUBE;3433;;PORTO DA MADEIRA;52130-547;GLP;22/04/2026;105;;R$ / 13 kg;BAHIANA
NE;PI;TERESINA;J A SILVA MERCADINHO; 23.621.717/0002-37;RUA MINISTRO PEDRO BORGES;1560;;TABOLETA;64019-650;GLP;22/04/2026;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
S;PR;ARAUCARIA;AUTO POSTO FIALLA II LTDA; 81.450.538/0001-08;AVENIDA DOUTOR VICTOR DO AMARAL;563;;CENTRO;83702-040;GLP;20/04/2026;110;;R$ / 13 kg;BRANCA
S;PR;ARAUCARIA;AUTO POSTO FIALLA LTDA; 78.951.779/0001-18;AVENIDA ARCHELAU DE ALMEIDA TORRES;925;;CENTRO;83702-185;GLP;20/04/2026;110;;R$ / 13 kg;LIQUIGÁS
SE;RJ;SAO GONCALO;CENTRO AUTOMOTIVO PARAISO DE SÃO GONÇALO LTDA.; 01.355.571/0001-01;RUA COMANDANTE ARI PARREIRAS;2013;;PARAISO;24430-000;GLP;20/04/2026;115;;R$ / 13 kg;BRANCA
NE;RN;NATAL;JVC COMERCIAL LTDA; 35.298.330/0006-02;AVENIDA PRUDENTE DE MORAIS;1854;;LAGOA NOVA;59063-200;GLP;22/04/2026;128;;R$ / 13 kg;LIQUIGÁS
NE;RN;NATAL;FLOR E OLIVEIRA LTDA; 12.689.295/0002-15;AVENIDA GOV. TARCISIO DE VASCONCELOS MAIA;1450;A;CANDELARIA;59065-780;GLP;22/04/2026;130;;R$ / 13 kg;LIQUIGÁS
N;RO;CACOAL;VIOLATO E CIA LTDA; 04.903.852/0002-20;AVENIDA SÃO PAULO;2800;;CENTRO;78976-020;GLP;23/04/2026;135;;R$ / 13 kg;FOGAS
N;RO;PORTO VELHO;POSTO MAIA LTDA; 02.745.235/0001-38;AVENIDA NAÇÕES UNIDAS;238;;NOSSA SENHORA DAS GRAÇAS;78915-040;GLP;22/04/2026;132;;R$ / 13 kg;FOGAS
N;RO;PORTO VELHO;JANETE N. C. ALVES; 00.820.119/0001-00;RUA JOSÉ VIEIRA CAULA;4712;;AGENOR DE CARVALHO;78909-490;GLP;20/04/2026;125;;R$ / 13 kg;FOGAS
N;RR;BOA VISTA;A. P. FACCIO & CIA LTDA; 03.611.874/0001-73;AVENIDA BRASIL;1228;QUADRA 74;CINTURAO VERDE;69312-450;GLP;21/04/2026;156;;R$ / 13 kg;FOGAS
N;RR;BOA VISTA;ARNOGAS & CIA LTDA; 05.939.533/0003-19;RUA JOAO ALENCAR;696;;AEROPORTO;69312-042;GLP;20/04/2026;138;;R$ / 13 kg;FOGAS
N;RR;BOA VISTA;RORAIPETRO RORAIMA PETROLEO LTDA; 00.581.612/0002-04;AVENIDA GENERAL ATAIDE TEIVE;4412;;CAIMBE;69312-218;GLP;20/04/2026;142;;R$ / 13 kg;FOGAS
S;RS;BAGE;L. CASTRO COMERCIO DE COMBUSTIVEIS LTDA; 05.799.373/0002-79;RUA EMÍLIO GUILAIN;673;;CENTRO;96415-100;GLP;23/04/2026;125;;R$ / 13 kg;LIQUIGÁS
S;RS;BAGE;F.F.STAEVIE COMBUSTIVEIS LTDA; 05.757.241/0001-01;AVENIDA SANTA TECLA;1891;;GETULIO VARGAS;96413-000;GLP;23/04/2026;118;;R$ / 13 kg;LIQUIGÁS
S;RS;BAGE;L. CASTRO COMERCIO DE COMBUSTIVEIS LTDA; 05.799.373/0001-98;AVENIDA ESPANHA;1190;;HIDRAULICA;96408-000;GLP;23/04/2026;129;;R$ / 13 kg;LIQUIGÁS
S;RS;CAXIAS DO SUL;CAPOANI E RECH COMERCIO DE COMBUSTIVEIS LTDA.; 07.985.128/0001-09;RUA CONDE D'EU;1962;;BELA VISTA;95076-090;GLP;23/04/2026;132,9;;R$ / 13 kg;BRANCA
S;RS;CAXIAS DO SUL;POSTO RAMAR - COMERCIO DE COMBUSTIVEIS LTDA.; 05.379.733/0001-00;AVENIDA SAO LEOPOLDO;940;;SAO LEOPOLDO;95097-350;GLP;20/04/2026;105;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;RS;CAXIAS DO SUL;POSTO TIROL LTDA; 02.321.002/0001-08;ESTRADA BR 116;2570;ESQUINA LUIZ MICHELON;LUIZ MICHELON;95070-070;GLP;23/04/2026;109;;R$ / 13 kg;ULTRAGAZ
S;RS;CAXIAS DO SUL;POSTO DE SERVICOS BALDISSERA LTDA; 89.279.996/0001-20;RUA MOREIRA CESAR;686;;SAO JOSE;95034-000;GLP;20/04/2026;115;;R$ / 13 kg;BRANCA
S;RS;CAXIAS DO SUL;SQUIZZATO COMERCIO DE COMBUSTIVEIS LTDA; 00.547.721/0001-16;RUA ALEXANDRE RIZZO;877;;DESVIO RIZZO;95110-000;GLP;22/04/2026;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
S;RS;LAJEADO;COMERCIO DE COMBUSTIVEIS FLORESTAL LTDA; 02.558.109/0001-74;AVENIDA BENJAMIN CONSTANT;1791;;FLORESTAL;95900-700;GLP;20/04/2026;125;;R$ / 13 kg;BRANCA
S;RS;PELOTAS;IRMAOS CORTEZ LTDA; 92.193.200/0001-26;AVENIDA DUQUE DE CAXIAS;1152;;FRAGATA;96030-003;GLP;20/04/2026;129;;R$ / 13 kg;LIQUIGÁS
S;RS;SANTA MARIA;AUTO POSTO RODALEX LTDA - EM RECUPERACAO JUDICIAL; 87.799.953/0003-01;RODOVIA BR-158;565;;PINHEIRO MACHADO;97030-660;GLP;21/04/2026;112,9;;R$ / 13 kg;LIQUIGÁS
S;RS;URUGUAIANA;MANOS COMERCIO DE COMBUSTIVEIS, PNEUS, PECAS E ACESSORIOS LTDA; 05.823.317/0001-41;RUA 15 DE NOVEMBRO;4700;;CENTRO;97500-511;GLP;22/04/2026;150;;R$ / 13 kg;LIQUIGÁS
S;RS;URUGUAIANA;PILLON COMERCIO DE COMBUSTIVEIS LTDA; 74.108.226/0001-47;AVENIDA MARECHAL SETEMBRINO DE CARVALHO;1438;BLOCO A;IPIRANGA;97507-380;GLP;22/04/2026;120;;R$ / 13 kg;ULTRAGAZ
S;SC;BLUMENAU;POSTO ITOUPAVAZINHA LTDA; 02.714.732/0001-79;RUA FREDERICO JENSEN;1080;;ITOUPAVAZINHA;89066-301;GLP;20/04/2026;130;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;SC;BRUSQUE;POSTO MIME S.A.; 83.488.882/0006-18;AVENIDA LAURO MULLER;149;;CENTRO;88353-040;GLP;20/04/2026;139,99;;R$ / 13 kg;ULTRAGAZ
NE;SE;ARACAJU;REDE DE POSTOS PRESIDENTE LTDA; 32.864.795/0001-72;AVENIDA COELHO E CAMPOS;1254;;SANTO ANTONIO;49060-000;GLP;23/04/2026;114,9;;R$ / 13 kg;BRANCA
SE;SP;CACAPAVA;AUTO POSTO BRASIL DE CACAPAVA LTDA; 02.375.671/0001-62;AVENIDA DR. JOSE DE MOURA RESENDE;4;;VERA CRUZ;12287-650;GLP;22/04/2026;100;;R$ / 13 kg;BRANCA
SE;SP;CARAGUATATUBA;AUTO POSTO ASA DELTA LTDA; 61.279.832/0001-83;RUA BENEDITO R DOS SANTOS FILHO;34;CASA 01;PONTA SANTA MARINA;11672-140;GLP;23/04/2026;145;;R$ / 13 kg;ULTRAGAZ
SE;SP;COTIA;PASARGADA SERVICOS AUTOMOTIVOS LTDA; 45.569.399/0001-64;RUA JAIME CUNHA;80;KM 25                     ROD. RAPOSO TAVARES;JARDIM PASARGADA I;06712-103;GLP;21/04/2026;129,09;;R$ / 13 kg;LIQUIGÁS
SE;SP;CUBATAO;AUTO POSTO CUBATAO LTDA; 47.498.829/0001-20;AVENIDA NOVE DE ABRIL;1845;;CENTRO;11510-000;GLP;20/04/2026;129,9;;R$ / 13 kg;LIQUIGÁS
SE;SP;CUBATAO;AUTO POSTO SHALON DA NOVE DE ABRIL LTDA; 46.480.414/0001-66;AVENIDA NOVE DE ABRIL;2590;;CENTRO;11510-003;GLP;20/04/2026;129,9;;R$ / 13 kg;LIQUIGÁS
SE;SP;EMBU DAS ARTES;MINELLA AUTO POSTOS LTDA; 58.580.366/0001-67;AVENIDA JOAO PAULO II;1;;JARDIM CULTURA FISICA;06810-005;GLP;21/04/2026;119,9;;R$ / 13 kg;LIQUIGÁS
SE;SP;OLIMPIA;HIROCHI & LUCIANA KITAGAWA COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA; 06.940.454/0001-29;RUA SIRIA;473;;PATRIM.S.J.BATISTA I;15400-000;GLP;23/04/2026;97;;R$ / 13 kg;CONSIGAZ
SE;SP;OLIMPIA;HIROCHI KITAGAWA & CIA LTDA; 58.837.816/0001-54;AVENIDA AURORA FORTI NEVES;684;;CENTRO;15400-000;GLP;24/04/2026;97;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;OLIMPIA;HIROCHI E MILEINE KITAGAWA OLIMPIA LTDA; 38.802.476/0001-19;AVENIDA AURORA FORTI NEVES;S/N;;CENTRO;15400-000;GLP;24/04/2026;97;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;OLIMPIA;KITAGAWA & KITAGAWA LTDA; 01.002.465/0001-44;AVENIDA DR. ADHEMAR PEREIRA DE BARROS;480;;URBANO;15400-000;GLP;23/04/2026;97;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;PAULINIA;SERVICAR AUTO POSTO JOAO ARANHA LTDA; 55.744.981/0001-73;AVENIDA JOAO ARANHA;10;;JOAO ARANHA;13140-031;GLP;22/04/2026;115;;R$ / 13 kg;LIQUIGÁS
