Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
CO;MS;CORUMBA;L M COMERCIO DE GAS LTDA; 35.328.737/0001-12;RUA MINAS GERAIS;2400;;POPULAR NOVA;79321-052;GLP;27/04/2026;129,99;;R$ / 13 kg;BRANCA
S;RS;PELOTAS;ATACADAO DO GAS DISTRIBUIDORA LTDA; 37.670.039/0001-26;AVENIDA THEODORO MULLER;2794;;FRAGATA;96040-160;GLP;27/04/2026;115,9;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;PE;GOIANA;A. ANDRADE COMERCIO DE GAS LTDA; 38.395.243/0001-49;RODOVIA PE 075;SN;;ESTANCIA;55900-000;GLP;30/04/2026;105;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;ES;CARIACICA;LZ DISTRIBUIDORA DE GAS LTDA; 39.648.495/0001-03;AVENIDA ALMIR CRUZ DE AMORIM;763;QUADRAC5                  LOTE  2;NOVA VALVERDE;29151-814;GLP;28/04/2026;100;;R$ / 13 kg;BRANCA
NE;BA;SALVADOR;JE COMERCIO VAREJISTA DE GAS LTDA; 38.244.924/0001-06;RUA ENGENHEIRA MAGNOLIA TEIXEIRA;2;;PRAIA DO FLAMENGO;41603-470;GLP;28/04/2026;125;;R$ / 13 kg;COPA ENERGIA
SE;MG;MONTE CARMELO;GSO COMERCIO DE COMBUSTIVEIS LTDA; 39.980.433/0001-96;RUA DAS BRIOFITAS;225;;TRIANGULO;38500-000;GLP;29/04/2026;99;;R$ / 13 kg;BRANCA
S;RS;PELOTAS;JAIR DUMMER HUTTNER; 01.113.343/0001-25;AVENIDA FERNANDO OSORIO;6810;;TRES VENDAS;96070-850;GLP;28/04/2026;122;;R$ / 13 kg;LIQUIGÁS
SE;RJ;DUQUE DE CAXIAS;JULEJU REVENDEDORA DE GAS DUQUE DE CAXIAS LTDA; 37.337.159/0001-06;AVENIDA NILO PECANHA;1252;QUADRA64                  LOTE  01;PARQUE LAFAIETE;25015-001;GLP;28/04/2026;98;;R$ / 13 kg;ULTRAGAZ
NE;RN;MOSSORO;R & R DISTRIBUIDORA DE GAS LTDA; 37.961.229/0001-00;RUA JEREMIAS DA ROCHA;234;SALA  1;SANTO ANTONIO;59611-190;GLP;30/04/2026;115;;R$ / 13 kg;LIQUIGÁS
CO;GO;GOIANIA;ZOOM GAS EIRELI; 38.443.572/0001-18;RUA C25;202;QUADRA39                  LOTE  05;BRO JARDIM AMERICA;74265-150;GLP;27/04/2026;125;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;PE;VITORIA DE SANTO ANTAO;COMERCIAL DOKMUS DISTRIBUIDORA DE GAS E DERIVADOS EIRELI; 38.110.652/0001-51;RODOVIA PE 45;788;;LIDIA QUEIROZ;55614-680;GLP;29/04/2026;99,99;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO VILLAGE MALL LTDA; 25.047.493/0001-46;AVENIDA JOSE DA SILVA SE;630;;VILLAGE DAMHA RIO PRETO III;15056-110;GLP;29/04/2026;129;;R$ / 13 kg;ULTRAGAZ
NE;CE;QUIXADA;GRUPO MARINHEIRO GAS LTDA; 08.799.201/0006-17;RUA BASILIO EMILIANO PINTO;697;;COMBATE;63903-415;GLP;27/04/2026;125;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;BA;JAGUAQUARA;EDILSON CAMPOS DOS SANTOS; 38.378.094/0001-00;AVENIDA BAHIA;356;;STELA DUBOIS;45345-000;GLP;28/04/2026;110;;R$ / 13 kg;LIQUIGÁS
CO;MT;SINOP;FRANCIS COMERCIO DE GAS LTDA; 37.678.796/0001-46;AVENIDA DOS JEQUITIBAS;2344;SALA  A;JARDIM DAS VIOLETAS;78552-253;GLP;27/04/2026;140;;R$ / 13 kg;BRANCA
SE;ES;VITORIA;TL GAS LTDA; 39.226.179/0001-35;AVENIDA MARECHAL CAMPOS;601;;DE LOURDES;29042-763;GLP;27/04/2026;96,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;PE;IGARASSU;PETROENERGY COMERCIO E REPRESENTACAO DE COMBUSTIVEIS E RESIDUOS DE OLEO EIRELI; 33.660.736/0001-45;AVENIDA ALFREDO BANDEIRA DE MELO;SN;ROD. BR 101;CENTRO;53610-000;GLP;29/04/2026;100;;R$ / 13 kg;BAHIANA
N;PA;PARAGOMINAS;COMERCIAL BORSOI LTDA; 83.915.470/0019-31;RUA LEOPOLDINA;151;LOTE  23                  QUADRA60                  LOTE  JADERLANDIA;NOVA CONQUISTA;68627-503;GLP;30/04/2026;130;;R$ / 13 kg;BRANCA
SE;RJ;RESENDE;TELLES CENTRAL GAS - COMERCIO DE GLP LTDA; 38.085.487/0001-25;RUA HOSTILIO DE SOUZA;1223;LOJA  0;VILA ITAPUCA;27524-040;GLP;27/04/2026;127;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;RJ;PETROPOLIS;CHARLES PIMENTEL COMERCIO DE GAS LTDA; 36.756.322/0001-02;ESTRADA MINEIRA;1515;;CORREAS;25720-252;GLP;28/04/2026;99,99;;R$ / 13 kg;BRANCA
NE;AL;MACEIO;SHALON ADONAI GAS LTDA; 39.917.407/0001-13;RUA DESEMBARGADOR CARLOS DE GUSMAO;SN;LOTE  03;TABULEIRO DO MARTINS;57081-366;GLP;29/04/2026;99,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;MG;UBERABA;MACHADO E CARDOSO COMERCIO DE GAS LTDA; 32.061.466/0003-55;AVENIDA BANDEIRANTES;222;;PARQUE DAS GAMELEIRAS;38037-000;GLP;27/04/2026;100;;R$ / 13 kg;COPA ENERGIA
SE;MG;MONTE CARMELO;M.P. OLIVEIRA; 39.930.200/0001-89;AVENIDA JOAO PINHEIRO;1222;;RESIDENCIAL LAMBARI;38500-000;GLP;30/04/2026;110;;R$ / 13 kg;BRANCA
NE;BA;TEIXEIRA DE FREITAS;ROCHA E SANTOS COMERCIO DE GAS LTDA; 39.749.886/0001-06;RUA VIRGILIO DA CONCEICAO;57;;SAO LOURENCO;45992-042;GLP;27/04/2026;97;;R$ / 13 kg;BRANCA
CO;GO;CATALAO;DISTRIBUIDORA DE GAS E AGUA JR LTDA; 40.087.575/0001-08;AVENIDA JOSE MARCELINO;2901;LOJA  C-02;LOTEAMENTO BELA VISTA;75710-362;GLP;30/04/2026;115;;R$ / 13 kg;ULTRAGAZ
NE;PE;CARUARU;ELIELSON R S DA SILVA GAS; 20.786.572/0001-55;RUA MARTINS FRANCISCO;67;CASA A;SALGADO;55020-360;GLP;30/04/2026;105;;R$ / 13 kg;BAHIANA
SE;RJ;ITAPERUNA;DEPOSITO DE GAS AEROPORTO LTDA; 36.967.104/0001-17;RUA BOM JESUS;430;;AEROPORTO;28300-000;GLP;01/05/2026;98;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;HORTOLANDIA;JD AMANDA COMERCIO DE GLP LTDA; 35.797.856/0001-14;AVENIDA PRINCESA ISABEL;1595;;JARDIM AMANDA I;13188-021;GLP;28/04/2026;104,99;;R$ / 13 kg;LIQUIGÁS
SE;SP;JACAREI;CLEBER FERNANDO DA SILVA COMERCIO DE GAS; 39.599.546/0001-46;AVENIDA DANTE SIANI;338;;JARDIM SANTA MARINA;12312-420;GLP;27/04/2026;89;;R$ / 13 kg;FOGAS
SE;ES;VITORIA;XANDOM GAS E AGUA LTDA; 39.982.619/0001-84;AVENIDA NAIR AZEVEDO SILVA;220;;ILHA DO PRINCIPE;29020-240;GLP;27/04/2026;100;;R$ / 13 kg;BRANCA
CO;MS;CAMPO GRANDE;AUTO POSTO SAO JORGE LTDA; 15.144.169/0003-54;RUA CHAPARRAL;21;;JARDIM TARUMA;79097-450;GLP;28/04/2026;125;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;MT;CUIABA;DISTRIBUIDORA TO NO GAS LTDA; 13.551.632/0001-95;AVENIDA GONCALO ANTUNES DE BARROS;31;QUADRA21 LOTE 31;CARUMBE;78050-667;GLP;28/04/2026;120;;R$ / 13 kg;FOGAS
NE;BA;SALVADOR;REI GAS COMERCIO VAREJISTA DE GLP EIRELI; 38.821.052/0001-00;RUA PROFESSOR PLINIO GARCEZ DE SENA;S/N;;MUSSURUNGA I;41490-340;GLP;30/04/2026;127;;R$ / 13 kg;BAHIANA
SE;SP;ITAPECERICA DA SERRA;CLAUDECI DOS SANTOS DIAS; 11.189.939/0002-43;AVENIDA ARGENTINA;1114;;PARQUE PARAISO;06852-490;GLP;30/04/2026;119,99;;R$ / 13 kg;BRANCA
SE;SP;BAURU;ZILOGAS BAURU LTDA; 22.889.416/0008-11;AVENIDA DOUTOR MARCOS DE PAULA RAPHAEL 32 QUADRA 9;27-25;;NUCLEO HABITACIONAL MARY DOTA;17026-970;GLP;27/04/2026;95;;R$ / 13 kg;BRANCA
S;RS;CANOAS;LINDA TAMI DE JESUS; 39.398.197/0001-02;RUA SANTA TEREZINHA;529;;NOSSA SENHORA DAS GRACAS;92025-620;GLP;27/04/2026;115;;R$ / 13 kg;COPA ENERGIA
SE;SP;ITU;CINTIA CRISTINA GONZAGA; 31.774.966/0001-00;RUA IGNACIO RODRIGUES D'AVILA;784;;VILA PADRE BENTO;13313-020;GLP;29/04/2026;118;;R$ / 13 kg;COPA ENERGIA
CO;GO;GOIANIA;FABIO MIRANDA FRANCA LTDA; 37.931.982/0001-45;AVENIDA RIO VERDE;8166;QUADRA75                  LOTE  03;JD PRESIDENTE;74353-520;GLP;28/04/2026;105;;R$ / 13 kg;BRANCA
SE;SP;VOTUPORANGA;COMERCIAL DE COMBUSTIVEIS VOTUPORANGA LTDA.; 10.303.275/0001-58;AVENIDA JOSE MARAO FILHO;6;;JARDIM YOLANDA;15502-045;GLP;27/04/2026;115;;R$ / 13 kg;ULTRAGAZ
S;PR;CASTRO;STELLA GAS LTDA.; 39.269.198/0001-49;RUA SAO TOME;1246;;VILA SANTA CRUZ;84168-010;GLP;30/04/2026;123;;R$ / 13 kg;BRANCA
S;RS;SAO LEOPOLDO;LUCIDIO TREVIZAN PEDRAS; 19.527.450/0001-65;RUA GONZAGA;38;;PADRE REUS;93020-040;GLP;27/04/2026;105;;R$ / 13 kg;ULTRAGAZ
SE;SP;GARCA;VG COMERCIO DE GAS LTDA; 40.372.172/0001-00;RUA CEL JOAQUIM PIZA;807;;FERRAROPOLIS;17400-084;GLP;28/04/2026;135;;R$ / 13 kg;ULTRAGAZ
SE;MG;SETE LAGOAS;BRASIL GERAIS DISTRIBUIDORA DE GAS EIRELI; 37.336.736/0001-45;RUA PROFESSOR ABEYLARD;760;LOJA  01;CENTRO;35700-069;GLP;27/04/2026;95;;R$ / 13 kg;BRANCA
SE;RJ;MACAE;SIQUEIRA SOARES DISTRIBUICAO COMERCIO E REPRESENTACAO DE GLP LTDA; 33.796.287/0001-67;RUA CORONEL SIZENANDO DE SOUZA;164;;VISCONDE DE ARAUJO;27943-072;GLP;30/04/2026;150;;R$ / 13 kg;ULTRAGAZ
NE;MA;SAO JOSE DE RIBAMAR;L S COMERCIO E SERVICOS LTDA; 12.125.791/0011-37;ENTRADA DA MATA;1;QUADRAK;MAIOBINHA;65110-000;GLP;28/04/2026;130;;R$ / 13 kg;LIQUIGÁS
NE;BA;ALAGOINHAS;PIMENTEL & SOUZA SUPER GAS LTDA; 35.522.106/0001-30;RUA CONSELHEIRO DANTAS;SN;;KENNEDY;48020-630;GLP;30/04/2026;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;RJ;SAO GONCALO;FACC COMERCIO TRANSPORTE DE GAS LTDA; 38.200.052/0001-84;AVENIDA JOSE MENDONCA DE CAMPOS;90;;MUTONDO;24450-265;GLP;29/04/2026;110;;R$ / 13 kg;BRANCA
CO;GO;RIO VERDE;FLAVIO MEDEIROS FERREIRA; 40.631.870/0001-83;RUA LAUDEMIRO JOSE BUENO;862;QUADRA04                  LOTE  05;JARDIM AMERICA;75902-510;GLP;27/04/2026;109,99;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;MG;UBERLANDIA;JESSICA ARAUJO MENDES 10009610600; 37.621.368/0001-87;AVENIDA NORUEGA;293;CASA  COMERCIO FRENTE;TIBERY;38405-002;GLP;27/04/2026;99,99;;R$ / 13 kg;BRANCA
N;PA;ANANINDEUA;C. S. A. COMBUSTIVEIS LTDA; 07.123.542/0002-81;CONJUNTO GERALDO PALMEIRA;16 A;QUADRA31;CENTRO;67040-350;GLP;28/04/2026;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;BA;JEQUIE;CURRAL NOVO COMERCIO DE DERIVADOS DE PETROLEO LTDA; 10.545.732/0001-10;RUA BARRAGEM DE PEDRAS;SN;;CURRAL NOVO;45201-820;GLP;29/04/2026;115;;R$ / 13 kg;BRANCA
S;RS;IJUI;COMERCIO DE COMBUSTIVEIS MP LTDA; 24.060.754/0001-03;RUA VENANCIO AIRES;34;;CENTRO;98700-000;GLP;28/04/2026;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
S;PR;PARANAVAI;BRASIL GRILL GOURMET LTDA; 37.945.485/0001-04;AVENIDA HEITOR ALENCAR FURTADO;4201;;JARDIM PARAISO;87708-000;GLP;30/04/2026;104,9;;R$ / 13 kg;ULTRAGAZ
CO;MS;CAMPO GRANDE;AUTO POSTO FENNER LTDA; 10.839.948/0002-70;AVENIDA DOUTOR HEITOR MEDEIROS;36;;VILA MARLI;79117-380;GLP;27/04/2026;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;GUARULHOS;SPEEDGAS LTDA; 37.919.510/0001-77;AVENIDA ARMANDO BEI;297;;VILA NOVA BONSUCESSO;07175-000;GLP;30/04/2026;110;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;CRUZEIRO;PIT STOP DO VALE LTDA; 39.880.115/0001-53;AVENIDA GOVERNADOR JANIO QUADROS;389;LOJA  2;VILA DOUTOR JOAO BATISTA (PARTE ALTA);12720-000;GLP;29/04/2026;99,99;;R$ / 13 kg;CONSIGAZ
S;PR;UMUARAMA;DECO COMERCIO DE GAS LTDA; 37.404.859/0001-76;AVENIDA ARACAJU;1789;SALA  C;ZONA VII;87503-370;GLP;30/04/2026;118;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;SE;ARACAJU;REDE DE POSTOS PRESIDENTE LTDA; 32.864.795/0026-20;AVENIDA GENERAL EUCLIDES FIGUEIREDO;549;;SOLEDADE;49089-025;GLP;29/04/2026;114,9;;R$ / 13 kg;LIQUIGÁS
NE;AL;MACEIO;CASSIO SANTOS DA SILVA; 37.872.230/0001-50;RUA TRAIPU;S/N;;CANAA;57080-060;GLP;29/04/2026;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;MS;CAMPO GRANDE;POSTO VIA NORTE LTDA; 20.025.135/0001-19;AVENIDA CORONEL ANTONINO;4490;;VILA CANTEIRO CENTRAL AV CEL ANTONINO;79033-000;GLP;27/04/2026;109;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;SE;NOSSA SENHORA DO SOCORRO;KACIO SANTOS BARRETO COMERCIO VAREJISTA DE GAS; 21.901.380/0001-05;AVENIDA 2 DE FEVEREIRO;38;;CENTRO;49160-000;GLP;27/04/2026;105;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;JACAREI;COMERCIAL GASMAIS LTDA; 16.103.050/0006-49;RUA SANTO IVO;622;;CIDADE SALVADOR;12312-190;GLP;27/04/2026;119,99;;R$ / 13 kg;ULTRAGAZ
SE;SP;ITAPIRA;TERESINHA  SILVA GONCALVES DE OLIVEIRA; 40.896.218/0001-90;RUA JOAO BATISTA BOZZI;11;;JARDIM DAS ARAUCARIAS;13973-832;GLP;27/04/2026;125;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;PR;MARINGA;ROSEMARY JANUARIA PITA DE SOUZA - GAS E AGUA; 39.790.268/0001-00;AVENIDA DOUTOR ALEXANDRE RASGULAEFF;1328;;JARDIM ALVORADA;87033-080;GLP;28/04/2026;105;;R$ / 13 kg;BRANCA
NE;AL;DELMIRO GOUVEIA;T R ARAUJO JULIAO GAS; 40.173.151/0001-66;RUA JOSE DE ASSIS SOUZA;926;;PONTO CHIC;57480-000;GLP;27/04/2026;115;;R$ / 13 kg;BAHIANA
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO BEIRA DO RIO - RIO PRETO LTDA EM RECUPERACAO JUDICIAL; 17.559.977/0001-46;AVENIDA DR. ERNANI PIRES DOMINGUES;1810;;VILA NOSSA SENHORA DA PENHA;15045-388;GLP;29/04/2026;129,99;;R$ / 13 kg;BRANCA
NE;MA;SAO JOSE DE RIBAMAR;F DE A S CAMPOS E CIA LTDA; 23.321.280/0004-88;ESTRADA ESTRADA DE RIBAMAR;11;KM    06;VILA KIOLA;65110-000;GLP;28/04/2026;109;;R$ / 13 kg;BRANCA
SE;SP;SAO CARLOS;PIZELLI GAS LTDA; 41.038.758/0001-04;RUA ESTADOS UNIDOS;1035;;VILA COSTA DO SOL;13566-050;GLP;29/04/2026;125;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;PR;ARAPONGAS;J. NEVES COMERCIO DE GAS LTDA; 41.212.901/0001-24;AVENIDA SIRIEMA;260;;VILA ARAPONGUINHA;86705-500;GLP;29/04/2026;110;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;PAULINIA;SAO BENTO DISTRIBUIDORA DE GAS EIRELI; 37.712.561/0001-23;RUA SAO BENTO;174;;SANTA CECILIA;13140-322;GLP;29/04/2026;120;;R$ / 13 kg;ULTRAGAZ
N;PA;PARAGOMINAS;M. PRATES AMARAL COMERCIO VAREJISTA DE GAS LTDA; 37.566.644/0001-51;AVENIDA DEPUTADO JOAO BATISTA CJ OLGA MOREIRA;10;QUADRA22                  LOTE  10;PROMISSAO;68628-548;GLP;30/04/2026;130;;R$ / 13 kg;BAHIANA
SE;ES;VILA VELHA;ALEKSANDER BRAIDO BRUNORO; 11.899.367/0001-05;RUA GOIAS;727;;SOTECO;29106-190;GLP;28/04/2026;100;;R$ / 13 kg;SUPERGASBRAS ENERGIA
CO;DF;BRASILIA;RIBA COMERCIO VAREJISTA DE GAS LTDA; 37.253.335/0001-21;AREA ADE CONJUNTO 5 LOTE;4;;SAMAMBAIA SUL (SAMAMBAIA);72314-705;GLP;29/04/2026;104,99;;R$ / 13 kg;BRANCA
SE;SP;ITAPOLIS;BAICHI & BUTTARELLO LTDA; 40.167.671/0001-66;RUA DOMINGOS CARDILLI JUNIOR;645;;RESIDENCIAL MONTE VERDE;14900-000;GLP;30/04/2026;138;;R$ / 13 kg;ULTRAGAZ
SE;MG;JANAUBA;MACIEL GLEISON SOARES; 40.810.316/0001-63;AVENIDA GENTIL DIAS;977;LETRA B;RIO NOVO;39440-338;GLP;29/04/2026;120;;R$ / 13 kg;BRANCA
SE;SP;BARRETOS;EVERTON MOREIRA DA SILVA GAS E AGUA; 41.644.727/0001-99;RUA SANTA TEREZINHA;325;;SANTA TEREZINHA;14787-000;GLP;28/04/2026;115;;R$ / 13 kg;BRANCA
NE;CE;JUAZEIRO DO NORTE;RICARDO F LIMA; 40.115.070/0001-00;AVENIDA PARAIBA;379;;PIRAJA;63034-260;GLP;27/04/2026;130;;R$ / 13 kg;BRANCA
NE;MA;SAO LUIS;CALU COMBUSTIVEIS LTDA; 40.290.010/0001-23;RUA ANTONIO RAPOSO;407;;CUTIM ANIL;65045-215;GLP;29/04/2026;119,99;;R$ / 13 kg;LIQUIGÁS
S;SC;ITAJAI;IDEAL GAS LTDA; 41.452.993/0001-10;AVENIDA CAMPOS NOVOS;727;;SAO VICENTE;88309-650;GLP;27/04/2026;119,9;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;ES;VILA VELHA;DEPOSITO DE GAS ILHA DAS FLORES EIRELI; 40.650.750/0001-23;RUA BASILIO COSTALONGA;228;;ILHA DAS FLORES;29115-560;GLP;28/04/2026;100;;R$ / 13 kg;BRANCA
S;PR;PONTA GROSSA;GAS FORT COMERCIO DE GLP LTDA; 41.126.546/0001-70;RUA NICOLAU KLUPPEL NETO;1023;SALA  .;CONTORNO;84061-000;GLP;30/04/2026;105;;R$ / 13 kg;BRANCA
SE;SP;VOTORANTIM;IRMAOS OLIVEIRA VOTORANTIM LTDA; 40.131.939/0001-00;AVENIDA CARMEN GALAN BURGOS;345;;JARDIM ARCHILA;18111-460;GLP;29/04/2026;115;;R$ / 13 kg;COPA ENERGIA
SE;MG;SETE LAGOAS;KATIUSCIA ROSA MIRANDA SARAIVA 10253737664; 34.119.513/0001-38;RUA VINICIOS DE MORAIS;516;;JK;35702-188;GLP;27/04/2026;110;;R$ / 13 kg;BRANCA
S;RS;ALVORADA;MM DISTRIBUIDORA DE GAS GLP E AGUA MINERAL LTDA; 37.211.093/0001-03;AVENIDA PRESIDENTE GETULIO VARGAS;5486;;TIJUCA;94836-000;GLP;28/04/2026;114;;R$ / 13 kg;ULTRAGAZ
N;TO;PARAISO DO TOCANTINS;DISTRIBUIDORA GAS LAR LTDA; 04.329.828/0008-15;AVENIDA 23 DE OUTUBRO, ESQ. COM RUA 02;S/N;QUADRA02                  LOTE  03 E 04-PARTE;SANTA CLARA;77600-000;GLP;29/04/2026;140;;R$ / 13 kg;LIQUIGÁS
S;RS;IJUI;POSTO GLORIA - COMERCIO DE COMBUSTIVEIS LTDA; 13.048.709/0001-09;RUA JORGE LEOPOLDO WEBER;599;;BAIRRO GLORIA;98700-000;GLP;28/04/2026;119,9;;R$ / 13 kg;BRANCA
N;AM;MANAUS;AUTO POSTO PONTA NEGRA LTDA; 35.008.891/0001-07;AVENIDA CORONEL TEIXEIRA;7461;;NOVA ESPERANCA;69037-473;GLP;27/04/2026;135;;R$ / 13 kg;FOGAS
SE;MG;LAVRAS;J&E GAS E AGUA LTDA; 41.964.848/0001-18;AVENIDA JUSCELINO KUBITSCHECK;473;;RETIRO;37203-528;GLP;29/04/2026;120;;R$ / 13 kg;BRANCA
NE;AL;MACEIO;PAULO VICTOR LINS LIMA; 41.854.511/0001-58;RUA SAO FRANCISCO;S/N;;OURO PRETO;57045-838;GLP;29/04/2026;115;;R$ / 13 kg;COPA ENERGIA
CO;MS;CAMPO GRANDE;AUTO POSTO ECOLOGICO LTDA; 18.947.284/0001-93;AVENIDA DUQUE DE CAXIAS;3144;;JARDIM VERA CRUZ;79101-001;GLP;27/04/2026;120;;R$ / 13 kg;ULTRAGAZ
SE;ES;VILA VELHA;A. M. SANTANA GAS E AGUA; 33.889.390/0001-51;RUA JOSE BONIFACIO;2230;GALPAO01;ARIBIRI;29120-380;GLP;28/04/2026;100;;R$ / 13 kg;BRANCA
SE;SP;GUARULHOS;PUROGAS COMERCIO DE GAS LTDA; 38.195.938/0001-87;AVENIDA GUARULHOS;3681;;PONTE GRANDE;07031-000;GLP;30/04/2026;120;;R$ / 13 kg;LIQUIGÁS
SE;MG;CONTAGEM;DISTRIBUIDORA DE GAS E AGUA SONAR LTDA; 39.969.820/0001-21;RUA ANGICO;257;;JARDIM LAGUNA;32140-140;GLP;29/04/2026;115;;R$ / 13 kg;COPA ENERGIA
SE;RJ;NOVA IGUACU;BETEL COMERCIO DE GLP LTDA; 40.155.617/0001-09;ESTRADA LUIZ MARIO DA ROCHA LIMA;270;LOJA  0;AUSTIN;26086-070;GLP;27/04/2026;120;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;PB;SOUSA;DMSO COMERCIO DE GAS LTDA; 39.338.035/0001-70;RUA SALATIEL MARQUES FONTES;695-C;;ANDRE GADELHA;58806-470;GLP;27/04/2026;112;;R$ / 13 kg;BAHIANA
SE;SP;GUARULHOS;GRP COMERCIO DE GAS EIRELI; 37.787.174/0001-56;AVENIDA JOSE RANGEL FILHO;1176;;JARDIM PONTE ALTA I;07179-350;GLP;30/04/2026;109,99;;R$ / 13 kg;ULTRAGAZ
SE;MG;MONTES CLAROS;GAS PRIMEIRA OPCAO LTDA; 41.114.253/0001-73;RUA PORTO RICO;16;;INDEPENDENCIA;39404-301;GLP;29/04/2026;120;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;RS;SAO LEOPOLDO;JP COMERCIO DE GAS LTDA; 37.852.249/0001-35;RUA ANTONIO FRANCISCO LISBOA;364;;CAMPINA;93130-070;GLP;27/04/2026;110;;R$ / 13 kg;ULTRAGAZ
SE;SP;OSASCO;LIVIA GAS COMERCIO DE GLP, AGUA E ACESSORIOS LTDA; 41.011.380/0001-47;AVENIDA SPORT CLUB CORINTHIANS PAULISTA;448;;BUSSOCABA;06132-380;GLP;27/04/2026;119,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;SC;ITAJAI;POSTO MIME S.A.; 83.488.882/0033-90;RODOVIA ANTONIO HEIL;655;;ITAIPAVA;88316-001;GLP;27/04/2026;129,99;;R$ / 13 kg;ULTRAGAZ
NE;MA;PRESIDENTE DUTRA;M. M. C. DOS SANTOS; 32.075.629/0002-78;RUA VEREADOR MILTON GONCALVES DE SOUSA;62;;CAMPO DANTAS;65760-000;GLP;29/04/2026;115;;R$ / 13 kg;BRANCA
NE;SE;LAGARTO;JOSE ADILSON DOS SANTOS GAS E AGUA; 11.670.129/0001-23;RUA ANTONIO BISPO DE CAMPOS;115;;LIBORIOS;49400-000;GLP;30/04/2026;120;;R$ / 13 kg;COPA ENERGIA
S;RS;CANOAS;DAVI TEIXEIRA DA ROSA LTDA; 28.422.209/0001-62;RUA ALEXANDRE DE GUSMAO;1381;;ESTANCIA VELHA;92030-340;GLP;27/04/2026;110;;R$ / 13 kg;BRANCA
NE;BA;ITAMARAJU;GAMA COMERCIO DE GAS E BEBIDAS LTDA; 41.257.807/0001-91;RUA CARLOS GOMES;399;TERREO;CENTRO;45836-000;GLP;29/04/2026;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;VARZEA PAULISTA;FLAVIA REGINA BELANI SOUZA; 30.636.404/0001-37;RUA OLIVIO MORO;633;;JARDIM OLIVIO MORO;13225-850;GLP;27/04/2026;120;;R$ / 13 kg;BRANCA
SE;SP;SAO PAULO;CIPRIANO-GAS COMERCIO DE GLP LTDA; 32.676.844/0001-43;AVENIDA CIPRIANO RODRIGUES;718;;VILA FORMOSA;03361-010;GLP;30/04/2026;99,99;;R$ / 13 kg;BRANCA
NE;RN;PARNAMIRIM;A DOMINGOS DA SILVA GAS & CONVENIENCIA LTDA; 34.025.934/0007-95;RUA INTERLAGOS;35;;BELA PARNAMIRIM;59142-712;GLP;01/05/2026;110;;R$ / 13 kg;BAHIANA
SE;ES;ARACRUZ;TANIA MARIA PISSINATI E CIA LTDA; 22.113.759/0002-02;AVENIDA PRESIDENTE CASTELO BRANCO;248;;BELA VISTA;29192-066;GLP;30/04/2026;105;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;SE;LAGARTO;RV GAS E AGUA SANTA RITA DE CASSIA LTDA; 05.580.533/0002-94;RUA MON JASON;283;;SILVIO ROMERO;49400-000;GLP;30/04/2026;115;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;PA;CASTANHAL;RAINHA DO GAS LTDA; 41.856.952/0001-99;ALAMEDA TIRADENTES;3340;B;CAICARA;68744-100;GLP;27/04/2026;120;;R$ / 13 kg;BAHIANA
SE;MG;CAMPO BELO;NEUZA DAS GRACAS BARBOSA SILVA; 12.300.887/0001-12;RUA PROFESSOR JOSE FLORENCIO;300;LETRA CO A;VILA CONSTANTINO;37270-000;GLP;29/04/2026;115;;R$ / 13 kg;BRANCA
